PC1,IM,GM
-0.808001714018549,-0.89,Bajo
-2.976044479929593,-1.34,Muy bajo
-1.6500821337838052,-0.97,Bajo
0.6817078178192235,0.48,Alto
-1.3434005509056215,-1.05,Bajo
-1.701694647433112,-0.76,Bajo
2.9477477474905776,2.36,Muy alto
-1.6548900171456642,-0.87,Bajo
-2.237885362160114,-1.69,Muy bajo
0.5464990541967555,0.01,Alto
0.24577045547172754,0.21,Alto
1.9061250951214355,1.75,Muy alto
2.0605572673747368,1.17,Muy alto
-1.3101812479262533,-0.77,Bajo
-0.7117860342436753,-0.6,Bajo
0.342362721524678,0.36,Alto
-0.6825164930519617,-0.46,Bajo
-0.12521563389485424,-0.13,Medio
-1.8922996668647003,-1.38,Muy bajo
3.1158140227500293,2.06,Muy alto
1.4441268482314817,0.83,Muy alto
0.24263014631487093,0.16,Alto
-1.2714331873823843,-0.19,Medio
0.9618634297512573,0.75,Alto
-0.1889933584138354,-0.14,Medio
-1.612786246296754,-0.86,Bajo
1.6125297213787264,0.52,Alto
-1.1538333486076229,-0.61,Bajo
0.8166292098923165,-0.04,Medio
1.417747300973431,1.13,Muy alto
1.0798599387045336,0.4,Alto
1.899073345062723,0.57,Alto
